Country,PrimaryEnrollment,SecondaryEnrollment,TertiaryEnrollment,GraduationRate,LifeExpectancy,InfantMortalityRate,HealthcareExpenditure,PhysiciansPer1000,HospitalBedsPer1000
USA,1.1470786693528088,0.9326733980032473,0.9761950080690089,1.0601576095700007,0.4659720779838173,-0.5460275166884357,1.7850777328901608,0.3496157095475031,-0.37301742253164016
Germany,0.6882472016116852,0.8539667821379944,0.4402448075605334,0.7225277976050324,0.7400733003272388,-0.7046413989427776,0.7718981228819612,1.854290915194986,1.0847518149483328
Japan,0.917662935482247,1.0900866297337533,1.588709522935838,1.195209534355988,1.1512251338423711,-0.7927602224174118,0.27978231230655,0.17259509711838725,2.513937341889483
India,-0.22941573387056174,-0.7201655351670653,-0.8613485365314785,-0.9656212622198093,-0.9045340337332901,0.7757548354310789,-1.0662991695614867,-1.1550594960999803,-1.0590264754633922
Brazil,0.4588314677411235,-0.24792583997554735,-0.5550912790980639,-0.2903616382898726,0.054820244468685074,0.0,-0.8636632475598468,-0.00442551531072819,-0.48735226468693216
South Africa,-0.6882472016116852,-1.11369861449333,-1.0910414796065393,-1.3032510741847776,-1.5897870895918438,1.0636096587815511,-0.9649812085606667,-1.243569802314538,-0.9161079227692771
Australia,0.917662935482247,1.0113800138685003,0.8230663793523016,0.9251056847840134,0.8771239114989495,-0.6811430460162083,0.9745340448836012,1.1462084654785236,1.0847518149483328
China,0.0,0.30302047108122354,-0.32539833602300294,0.24984606085407676,0.19187085564039583,-0.44615951675051685,-0.2412814871262384,-0.35846674016895963,-0.05859660660458717
Russia,-0.4588314677411235,-0.09051260824504137,0.05742323576876523,-0.15530971350388525,-0.3563315890464472,-0.35804069327588256,-0.38602143141312406,0.7036569344057343,1.2276703676424479
Canada,1.3764944032233704,1.0113800138685003,1.2058879511440699,1.1276835719629945,0.8771239114989495,-0.6517701048579969,1.6403377886032753,0.5266363219766185,-0.2872662909151711
France,0.6882472016116852,0.7752601662727414,0.6699377506355944,0.8575797223910198,0.8771239114989495,-0.6987668107111352,0.9745340448836012,1.0576981592639656,0.22724049878364283
Italy,0.22941573387056174,0.6965535504074885,0.2105518644854725,0.3848979856400641,0.7400733003272388,-0.6811430460162083,0.7718981228819612,1.5887599965513126,0.5130776041718729
UK,0.4588314677411235,0.9326733980032473,0.8996306937106553,0.9926316471770071,0.7400733003272388,-0.6635192813212815,1.2061179557426183,0.7921672406202922,-0.20151515929870217
Mexico,-1.1470786693528088,-0.8775787668975712,-0.7082199078147712,-0.6279914502548409,-0.08223036670302566,-0.03493834053555675,-0.9360332197032896,-0.6239976588126332,-0.858940501691631
Argentina,-0.22941573387056174,-0.3266324558408003,-0.5550912790980639,-0.4254135630758599,0.054820244468685074,-0.2405489286430368,-0.8781372419885354,-0.26995643395440194,-0.6302708173810472
Nigeria,-2.2941573387056176,-2.058178004876366,-1.4738630513983075,-1.9785106981147143,-2.8232425901372404,3.3429498926587584,-1.0749835662186997,-1.5091007209582115,-1.1161938965410383
Egypt,-1.835325870964494,-1.664644925550101,-1.3207344226816002,-1.640880886149746,-1.1786352560767117,1.4630816585332265,-1.051825175132798,-1.243569802314538,-0.9161079227692771
South Korea,1.3764944032233704,1.2474998614642594,1.9715310947276061,1.3302614591419755,1.0141745226706602,-0.7222651636377043,0.9166380671688469,0.438126015762061,1.6564260257247927
Turkey,-0.4588314677411235,-0.4840456875713063,-0.8613485365314785,-0.49293952546885356,-0.08223036670302566,-0.005565399377345316,-0.892611236417224,-0.8895285774563068,-0.48735226468693216
Indonesia,-0.917662935482247,-1.271111846223836,-1.0910414796065393,-0.9656212622198093,-0.7674834225615794,0.5818934237868834,-0.9649812085606667,-1.3320801085290959,-0.9161079227692771
