Country,GDP,UnemploymentRate,ExportRate,ImportRate,Population,GDP_per_Capita
USA,2.81569138809318,-0.5313137473986249,-1.1912260428509842,-1.1061413028461111,0.04508146721609759,1.7258068372325626
Canada,-0.4185836115085802,-0.44771824100005153,0.4824212328971504,0.5177885581426195,-0.5671227149060274,0.9784298251034524
Germany,-0.08811842237734695,-0.7507519516948801,2.071445893579368,1.9185830183848067,-0.47147028659966944,0.8554787085055027
France,-0.2645230925079726,-0.1864822835045097,1.5261001520434592,1.9061866072322218,-0.5101469532468355,0.7016746899897153
Japan,0.1132481444329368,-0.8238980197936316,-0.8433330698022147,-0.7714382017262963,-0.38226629531006623,0.5874729037863762
India,-0.24840174370094087,-0.1864822835045097,-0.5518551734640563,-0.2507889333176957,2.236920780855911,-0.29805143036290244
China,1.6121003755009793,-0.656707006996485,0.9901569232926517,0.7161311365839914,2.3710881250217217,-0.8064796245044618
Brazil,-0.37356994907612817,0.21059637188871386,-0.9843707615787429,-1.1557269474564542,-0.20240004620896962,-0.7991117673300527
Argentina,-0.6489876653410119,0.03295592079174534,-0.7399054291660939,-0.6970597348107822,-0.5520984313609038,-0.7990657182227127
Australia,-0.4932402281672799,-0.4895159941993382,0.012295593642056428,-0.37475304484355304,-0.5932520582996418,1.2570269245107917
New Zealand,-0.6883387395138454,-0.6462575686966633,0.49182374568225207,0.1334998124124617,-0.635909451678284,-1.2571115840235167
SouthAfrica,-0.6654200056224898,2.070596389256971,-0.33559737940671336,0.17068904587021896,-0.5226101634998552,-0.9853804065205797
Nigeria,-0.6518564502115006,2.4049784148512643,-0.9279556848681316,-1.0069700136254256,-0.21581397198347713,-1.1606893581641733
