Country,GDP,UnemploymentRate,LifeExpectancy,EducationExpenditure,HealthExpenditure
USA,1.4828786261057938,-0.5990476899420936,-0.10351353287874147,0.28879070040780663,2.3045469764314843
Canada,0.49548971041791656,-0.33716891838270835,0.546455161941275,0.8235882937555976,0.10422574265268002
Germany,0.7198962821651613,-0.7954567686116326,0.474236418072385,0.07487166306869009,0.48059648000958083
France,0.36084576736956964,0.5794067820751401,0.8112572227938726,1.3583858871033885,0.3358385041030806
Japan,0.6750149678157124,-1.1555400795057873,1.3408613444990714,-0.7808044862877752,0.07527414747138006
China,-1.0529156346380726,-0.7299870757217863,-0.6090447399609745,-1.315602079635566,-1.0538380645993217
India,-1.4209424123035541,0.022914392511446308,-2.101565446584715,-1.8503996729833572,-1.748676348950523
Brazil,-1.1337020004670808,2.1179445649865287,-0.84977388619061,1.144466849764272,-0.09843542361642013
Argentina,-1.0708681603778523,1.3977779431982194,-0.5849718253380124,0.5027097377469232,-0.3879513754294206
Australia,0.9443028539124062,-0.5008431506073242,1.0760592836464737,-0.2460068929399843,-0.011580638072519772
