Country,GDP,Population,Life_Expectancy,Literacy_Rate,Unemployment_Rate,Inflation,Exports,Imports,HDI,Corruption_Index,Government_Stability,Health_Expenditure,Education_Expenditure
Country A,0.18865569082067324,1.1351093202219333,1.2253666646399235,-0.17150872342226256,-0.7027591873427459,0.9111842980212662,-0.6604445851522723,1.02646920900241,0.7855951339230165,-0.8716111814439071,0.7908764107408682,0.9176629354822479,1.3542486290878906
Country B,1.4917526884484384,-0.7395802352933596,-0.6192547812452817,1.0919866262537172,-0.9244744470101529,-0.3021414754203187,-1.0613409445097226,-1.014702638778076,-0.6843834909022586,0.6586985264347093,-0.5727036077778697,-0.4843221048378521,-0.8521114969541788
Country C,-1.677121911542728,-0.005215152558869709,-1.1054458974109094,-1.0883158492413185,-1.316056698392177,-0.6869834775095737,-1.8398654174368974,0.14582242143258028,-2.0419047345933588,1.7897970061710775,-1.9362836262966074,-1.8863071451579516,-1.765088100833656
Country D,0.6749873199770818,-1.3047068112567275,0.5180353248603397,-0.4091905329372871,0.9987898430535987,0.2510285488612971,-0.8001306906888664,-0.022650218323300105,0.9944445560293399,-1.1377520002054056,1.2454030835804475,1.5124444677392592,1.1260044781180214
Country E,-1.4693115829650014,1.858756070736544,0.9967274108723648,-0.29481907765076226,1.8060405434856794,-1.9930833585637382,1.3294244465745475,1.0280988873646675,0.5847783818977056,-0.4723999533016595,0.3363497379012889,0.4503345887088807,0.441272025208414
Country F,-0.48383681197570494,-1.2926853924584008,-0.21104581042578005,0.6510830994661695,-0.9922418378655241,1.1891249476159709,0.6925315838134747,-1.0085729318018353,-0.009639204097213855,0.05988168422133758,-0.11817693493829036,-0.2294157338705614,-0.5477859623276865
Country G,0.24456336418401511,-0.3882052146509455,0.16014536231176085,1.4038733426024366,0.5906060424486812,-1.1160956110435634,1.004063226907501,-1.7860594507118905,0.11888351719898514,0.25948729829246125,0.15453906876545723,-0.3143845241929914,-0.0912976603879478
Country H,0.34192658825962347,-0.5229145228140769,1.4374484132375618,-2.012857691945613,-0.39670357239917503,0.5601140367428286,1.0317572591634603,0.6818420230585363,0.8900198449761783,-1.0712167955150311,1.0635924144446158,0.7477253548373871,0.9738417108047752
Country I,-0.5679756458202518,0.8736587752866066,-1.7532439353587086,0.9386855352449484,1.072791139755681,1.2617772136261274,0.30400512132877183,-0.4510889916566638,-1.4153564682743895,1.5236561874095795,-1.4817569534570283,-1.3340100080621549,-1.1564370315806713
Country J,1.2563603006138488,0.38578316278729735,-0.648732751481284,-0.10893672837001425,-0.1359918257338669,-0.07492512233029643,0.0,1.4008416904135743,0.7775624638420041,-0.7385407720631578,0.5181604070371206,0.6202721693537414,0.5173534088650369
