Country,X_C1,X_C2
USA,0.6767746794425231,-1.4566146693291575
Germany,1.850826475290411,0.1294509717574663
Japan,0.3746116145141785,1.7973538840245908
India,-1.4855016598041917,-0.20297102647940402
Brazil,-0.3614665083727565,-0.011452901502994226
France,1.0624863432407148,-0.3393862714800867
Canada,0.5781365750503625,-1.066649679503453
China,-0.5102872090185699,0.4324388225980283
SouthAfrica,-1.5417304343067217,-0.12025256147896975
Russia,1.2292195732962992,1.0310695658926974
Mexico,-0.5003942924358267,-0.1620113607579049
UnitedKingdom,0.4935811472032642,-0.7403714774143213
Italy,1.3557644504291761,-0.5303422406147237
Nigeria,-1.8860279682356471,-0.1779725527863095
Argentina,0.29736243773692617,0.2818175596691352
Egypt,-1.2251067704009395,-0.06283410384637692
SouthKorea,0.28145367211989336,1.7885929765452395
Indonesia,-1.868651730791805,-0.06934116395112126
Spain,1.1789496050427084,-0.5205237713423342
