Country,Y_C1,Y_C2
USA,0.8341541078891064,-1.1030950239314135
Germany,0.5817241966005285,-0.27651020757815786
Japan,0.5541609388215797,1.2660038846849493
India,-1.736262095199994,0.7771724870902773
Brazil,-0.2879398243897637,-0.47898634670718254
France,1.0354771245143672,0.0756284979700813
Canada,0.5032560311876298,-0.9546855424493325
China,-0.10052780741891537,1.4605990796367128
SouthAfrica,-1.2833083372228362,-0.9199602486978897
Russia,1.0987037960601542,0.8038799327700185
Mexico,-0.3399610464318127,-0.952355425967284
UnitedKingdom,0.9739155051330604,-0.5408604514126026
Italy,1.4441202787309901,0.4085529204657304
Nigeria,-2.4061579387200207,0.43002782894481395
Argentina,0.10327146998215772,-0.6300634265274491
Egypt,-0.9238602061099498,-0.8504045985760568
SouthKorea,0.5640064597064395,1.1341334728973287
Indonesia,-2.1838766752165117,0.31631795557275294
Spain,1.5691040220837897,0.03460521181470392
