Country,GDP_per_Capita,EducationExpenditure,HealthcareExpenditure,LifeExpectancy,InfantMortalityRate,Population,UnemploymentRate
USA,1.9747055876328723,1.449252004761121,1.9430088048215561,0.42453591749671515,-0.5689211115130038,0.24007486683999724,-0.7327867358558685
Germany,0.9751077199371637,1.002242457838048,0.8464437711947709,0.6742629277889001,-0.7215967935645333,-0.3809862558243153,-0.7667120477010476
Japan,0.7252082530132365,0.5552329109149748,0.0,1.0488534432271774,-0.8064166169264941,-0.273734406290923,-1.0041892306173013
India,-1.1740276956086098,-1.121052890046549,-1.1430385040995397,-0.8240991339642096,0.7033762389164081,2.8753697327914676,-0.2069444022555926
Brazil,-0.5242890816063991,-1.0093005033157807,-0.9237254973741825,0.0499454020584377,-0.19571388872037637,-0.057477402474829846,0.03053278066066114
South Africa,-0.974108122069468,0.0,-1.033382000736861,-1.4484166596946721,0.9804543285654802,-0.44247281380408354,3.5248399007141082
Australia,1.474906653785018,1.2257472312995845,1.065756777920128,0.7991264329349926,-0.6989781740013438,-0.5274070612776433,-0.6479734562429208
Canada,1.12504740009152,0.7787376843765114,1.473052361838648,0.5493994226428076,-0.6593955897657621,-0.4966521156632333,-0.4783468970170253
China,-0.7741885485303263,-0.8975481165850125,-0.2501212624320144,0.0499454020584377,0.0,3.024391494612185,-0.5461975207073836
Mexico,-0.8241684419151117,-1.0763519353542417,-0.8767298530758917,-0.19978160823374727,-0.088275445795226,-0.2675637265989124,-0.6140481443977417
Russia,-0.7242086551455409,-0.9645995486234735,-0.40677341009298373,-0.32464511337983976,-0.3257709512087163,-0.2249085174806465,-0.42745892924925666
United Kingdom,0.8251680397828074,0.8904900711072796,0.9404350597913524,0.6742629277889001,0.0,-0.42092492759733136,-0.749749391778458
France,0.8751479331675929,1.1139948445688161,1.065756777920128,0.7991264329349926,-0.7046328288921412,-0.4274880319413497,-0.15605643448782383
Italy,0.5252886794740949,0.8904900711072796,0.7524524825981893,0.9239899380810851,-0.6933235191105465,-0.4395759135587844,0.14927137211878785
Spain,0.3253691059349531,0.7787376843765114,0.0,0.7991264329349926,-0.6763595544381542,-0.47401066428508815,0.8956282327127281
Nigeria,-1.1740276956086098,-1.1434033673927027,-1.1587037188656366,-2.6970517111555967,3.3554093827003824,-0.0736052497608206,0.9974041682482653
Kenya,-1.1840236742855668,-1.1657538447388565,-1.1524376329591977,-1.8230071751329495,1.6081210214439898,-0.45638381652788884,0.7260016734868325
Egypt,-1.1240478022238243,-1.121052890046549,-1.1117080745673458,-0.5743721236720247,0.37540625525015964,-0.3343839141072826,0.26800996357691487
South Korea,0.47530878608930943,0.8904900711072796,0.8464437711947709,0.9239899380810851,-0.7272514484553307,-0.462669602393273,-0.7836747036236371
Turkey,-0.8241684419151117,-1.0763519353542417,-0.8767298530758917,0.17480890720453018,-0.1561313044847947,-0.3795916746572442,0.5224498024157581
