Country,GDP_per_Capita,EducationExpenditure_per_Capita,HealthcareExpenditure,InfantMortalityRate
USA,1.7752494663162206,1.7927602093918085,1.7850777328901608,-0.5377922918874011
Germany,1.0913213298132463,1.0347220658857583,0.7718981228819612,-0.6963118539066132
Japan,0.8633452843122548,0.2766839223797083,0.27978231230655,-0.7843782772506199
India,-1.0926891860862522,-0.9361771072299718,-1.0662991695614867,0.7832040582727
Brazil,-0.778082243294884,-0.7845694785287618,-0.8636632475598468,-0.15030002917377142
South Africa,-0.9148678705954788,-1.0119809215805768,-0.9649812085606667,1.070887707863122
Australia,1.3192973753142376,1.4895449519893884,0.9745340448836012,-0.6728274743482113
China,-0.7324870341946856,-0.6329618498275518,-0.2412814871262384,-0.4379836787641934
Russia,-0.641296615994289,-0.4813542211263418,-0.38602143141312406,-0.3499172554201867
Canada,1.4560830026148326,1.6411525806905984,1.6403377886032753,-0.6434719999002091
France,0.8633452843122548,0.8831144371845483,0.9745340448836012,-0.6904407590170126
Italy,0.7265596570116598,0.5798991797821283,0.7718981228819612,-0.6728274743482113
UK,0.7721548661118581,1.0347220658857583,1.2061179557426183,-0.6552141896794101
Mexico,-0.7552846387447848,-0.7845694785287618,-0.9360332197032896,-0.02700703649216201
Argentina,-0.8008798478449831,-0.8603732928793668,-0.8781372419885354,-0.23249535762817772
Nigeria,-1.1200463115463712,-1.0877847359311819,-1.0749835662186997,3.3488725250280957
Egypt,-1.0516534978960737,-1.0119809215805768,-1.051825175132798,1.4701221603559524
South Korea,0.7265596570116598,0.5798991797821283,0.9166380671688469,-0.7139251385754146
Turkey,-0.7096894296445865,-0.7845694785287618,-0.892611236417224,0.002348437955840234
Indonesia,-0.9969392469758357,-0.9361771072299718,-0.9649812085606667,0.5894579269158852
