Country,C1,C2,C3,C4,C5,C6
USA,2.69110500295515,0.8969818218995858,0.4773286530922268,-0.04694880408876025,-0.11486702221873239,0.31690370808492146
Germany,2.384984591475359,0.365428297979363,0.3140001884564587,-0.053490832127703024,-0.12718187555859528,0.05859932040701234
Japan,1.7389827659398618,-0.4107921034396302,-0.6566553841695775,-0.1761694059501491,0.26925095808632604,0.17513477710238337
India,-2.930461219644064,-0.38020951446467555,0.40711234249496925,0.02641329092119157,0.13688540613759823,0.11376652992887465
Brazil,-1.221160765508149,-1.1811266186151321,-0.055666584330825095,0.6734696374709563,-0.0007148062203808141,0.04285772190409747
South Africa,-2.5998044052300164,1.091157195444549,-0.25516209447386057,-0.36776832485757366,-0.1947830768084937,-0.14471714916377004
Australia,2.6384285922789124,0.5278486655001731,-0.227022380226686,-0.07071784496129334,0.027074749022863175,0.038705437973276295
Canada,1.6852560036184905,0.7757199529348638,-0.06311094925215055,0.0218372950211934,0.2250642257661594,-0.30000602877370897
Italy,1.2696365381434644,-0.41658318986298126,-0.5144364332861799,-0.019303491058346195,0.09580861626390563,0.028700206472067512
Russia,-1.0167891775913414,-0.5988902495292348,-0.39959039908398114,0.03685268105816662,-0.5380861456483258,-0.04815846183487809
Mexico,-1.843274088482361,-1.1218194486447781,0.20369034555271334,-0.2597154811070455,-0.03598765477968891,0.07054351064602718
China,-1.3164343972820565,-1.2243072799687875,-0.027735269382238987,-0.1456563153999872,-0.030480207942984516,0.03135743508694779
Nigeria,-3.798744127352424,2.6177900411443624,-0.11492455391643264,0.2568773310873646,0.09616061476103975,0.08309304739050778
Argentina,-1.7878496284139724,-0.7917650511404772,0.4069063702080188,-0.21243687587302532,0.30653255915002586,-0.12679179100562468
South Korea,1.8554388692879547,-0.2902911086664006,-0.038001807181277915,0.29519069011157933,0.04157993534568514,-0.14141585645755045
France,2.2506854458051895,0.14085858942920002,0.543267955498823,0.041566449753431656,-0.1562562753564023,-0.19857240776058363
