Country,GDP_per_Capita,HealthcareExpenditure,EducationExpenditure,ResearchExpenditure,InfantMortalityRate,LifeExpectancy
USA,1.6268718264166735,1.6690503715994855,1.1638572058311796,1.0706514183064573,-0.5594802619458253,0.379439653818175
Germany,1.175354927497909,1.3574943022342483,0.9359690816124872,0.9407179937547028,-0.7421267331102024,0.6377815457794856
Japan,0.9044447881466503,-1.4167929719644114e-16,0.7080809573937947,0.8107845692029483,-0.8545245615190498,1.0252943837214517
India,-1.2176846367715433,-1.0726430388146029,-1.5708002847931302,-1.3980836481768788,1.021114200053591,-0.9122698059883783
Brazil,-0.9241986524743462,-0.823398183322413,-1.3429121605744379,0.0,-0.0958392197593298,-0.008073184123790959
South Africa,-1.0370778772040374,-0.9791762180050317,2.590788019673397e-16,-1.3720969632665279,1.3653325495556865,-1.558124535891655
Australia,1.3108099971735383,1.045938232869011,1.391745330049872,1.2005848428582118,-0.7210521402835434,0.766952491760141
Canada,0.7238380285791445,0.8901601981863924,1.1638572058311796,0.8107845692029483,0.0,0.5086105997988304
Italy,0.49807957911976214,-1.4167929719644114e-16,0.4801928331751022,0.6808511446511938,-0.7280770045590964,0.766952491760141
Russia,-0.811319427744655,-0.7610869694493656,-0.4313596636996678,-0.3586162517628425,-0.3698089265058953,-0.39558602206575694
Mexico,-0.901622807528408,-0.9168650041319842,-1.3429121605744379,-1.1382167990733696,0.0,-0.13724413010444628
China,-0.7661677378527786,-0.8857093971954605,-1.1150240363557453,-0.7484165254181061,-0.257411098097048,0.12109776185686437
Nigeria,-1.1725329468796668,-1.1037986457511266,2.590788019673397e-16,-1.3331169359010016,2.9810513329328674,-2.849833995698208
Argentina,-0.8564711176365315,-0.6676201486397944,-1.2289680984650915,-1.1122301141630189,0.46614992228490704,-0.008073184123790959
South Korea,0.5883829589035151,0.7343821635037736,0.4801928331751022,1.0706514183064573,-0.7561764616613083,0.8961234377407964
France,0.8592930982547738,1.513272336916867,0.7080809573937947,0.8757512814788255,-0.7491515973857553,0.766952491760141
