Country,F1,F2,F3,F4,F5,F6,F7
USA,1.018947276381963,-0.4451124992942672,2.767851435430175,-0.14508693758491695,-0.09676949318337952,-0.060907871764926805,0.0
China,1.4196064738741974,2.284237678701429,-0.4405224498076428,0.6726728115318019,0.7376557770286324,0.22685146353809094,0.0
India,0.4356529251641021,-0.4079726055078221,-0.508578915474106,1.5807092539030474,-0.9947086293859554,0.02864483872124823,0.0
Germany,-0.044050576843932605,-0.6947190662275929,-0.44952062901781226,0.5013815444839979,-0.125309128308639,-0.21059793465426663,0.0
Brazil,1.4041767274022858,-1.075975246398438,-1.11229834165062,-1.7996248144160567,0.3464428708486434,0.16951438177138417,0.0
Russia,-0.9556261025274727,1.381453653538876,0.06683703781466423,-1.4069485970476465,-1.3593151377716015,0.04469653781920542,0.0
Australia,-0.8636020206309293,-0.23035674468489525,-0.022969844844117543,0.19810170176324493,0.24308341156490842,-0.2483583335226883,0.0
Canada,-1.1817097121634428,0.06115154594893294,0.16784839764179696,0.15546375309985963,0.9541867446761716,-0.8865346759308382,0.0
South Africa,-1.2841493323160322,-0.12070445042857612,0.07693001764922719,-0.027848579853447516,0.8564463609630961,1.3374305303871605,0.0
Japan,0.05075434165926153,-0.7520022656476458,-0.5455767077415634,0.2711798641201144,-0.5617127764318753,-0.4007389363643686,0.0
