Country,PetrolProduction,GasProduction,CoalProduction,EnergyConsumption,WheatProduction,CornProduction,GrainConsumption
USA,2.845088169236763,0.31871508240447477,-0.23246991509102255,1.4005711383794064,1.7492430468091735,1.2225517942615811,1.9581891919109804
China,0.5893195514078131,1.8965125200503894,2.7759642802045637,2.3304108982993443,1.3546769460251495,2.3622187211155974,1.685270837637673
India,-0.3129878957237668,-0.47018363641848254,-0.0501405699215931,0.2382714384794841,0.1709786436730771,-0.020721216851891204,0.3206790662711361
Germany,-0.49626909592236895,-0.8646329958299612,-0.5971286054298814,-0.45910838146046934,-0.223587457110947,-0.4351455538897153,-0.4298464079804591
Brazil,-0.482170542060938,-0.9119669189593387,-0.6427109417222389,-0.7496833064354499,0.9601108452411253,0.3937031201859329,0.18421988913448248
Russia,-0.22839657255518114,1.5809530325212064,0.6791768107561247,-0.16853345648548873,-0.6181535578949711,-0.6423577224086273,-0.4980759965487859
Australia,-0.45397343433807613,-0.15462414888929962,-0.5059639328451667,-0.6334533364454576,-0.8811976250843205,-0.7459638066680834,-0.7709943508220933
Canada,-0.39757921889235237,0.47649482616906624,-0.414799260260452,-0.5753383514504615,-1.14424169227367,-0.6423577224086273,-0.907453527958747
South Africa,-0.5244662036452308,-0.9277448933357978,-0.3236345876757373,-0.8659132764254421,-1.2757637258683447,-0.9531759751869954,-1.0439127050954007
Japan,-0.5385647575066618,-0.9435228677122569,-0.6882932780145962,-0.5172233664554654,-0.0920654235162723,-0.5387516381491713,-0.4980759965487859
